"area_code","state_code","city_name"
386,"FL","DaytonaBeach"
401,"RI","Providence"
402,"NE","Omaha"
403,"AB","Youngstown"
407,"FL","Orlando"
408,"CA","SanJose"
409,"TX","Beaumont"
410,"MD","Baltimore"
412,"PA","Pittsburgh"
413,"MA","Springfield"
414,"WI","Milwaukee"
415,"CA","SanFrancisco"
416,"ON","Toronto"
417,"MO","Springfield"
404,"GA","Atlanta"
405,"OK","OklahomaCity"
406,"MT","Billings"
418,"QC","VilleDegelis"
419,"OH","Toledo"
423,"TN","Chattanooga"
424,"CA","LosAngeles"
425,"WA","Seattle"
431,"MB","Winnipeg"
432,"TX","Midland"
434,"VA","Lynchburg"
435,"UT","ParkCity"
437,"ON","Toronto"
438,"QC","SaintGenevieve"
440,"OH","Cleveland"
442,"CA","Victorville"
443,"MD","Baltimore"
450,"QC","Yamaska"
458,"OR","Eugene"
469,"TX","Dallas"
470,"GA","Atlanta"
475,"CT","NewHaven"
478,"GA","Macon"
479,"AR","Springdale"
480,"AZ","Phoenix"
484,"PA","Philadelphia"
501,"AR","LittleRock"
502,"KY","Louisville"
503,"OR","Portland"
504,"LA","NewOrleans"
505,"NM","Albuquerque"
506,"NB","YoungsCoveRoad"
507,"MN","Rochester"
508,"MA","Boston"
509,"WA","Spokane"
510,"CA","SanJose"
512,"TX","Austin"
513,"OH","Cincinnati"
514,"QC","SaintGenevieve"
515,"IA","DesMoines"
516,"NY","SpringfieldGardens"
517,"MI","Lansing"
518,"NY","Schenectady"
519,"ON","Zurich"
520,"AZ","Phoenix"
530,"CA","Sacramento"
531,"NE","Lincoln"
534,"WI","ChippewaFalls"
539,"OK","Tulsa"
540,"VA","Fredericksburg"
541,"OR","Eugene"
551,"NJ","Newark"
559,"CA","Fresno"
561,"FL","WestPalmBeach"
562,"CA","LosAngeles"
563,"IA","Davenport"
567,"OH","Toledo"
570,"PA","WilkesBarre"
571,"VA","Alexandria"
573,"MO","Columbia"
574,"IN","SouthBend"
575,"NM","LasCruces"
579,"QC","Waterloo"
580,"OK","OklahomaCity"
581,"QC","ValleeJonction"
585,"NY","Buffalo"
586,"MI","Detroit"
587,"AB","Wetaskiwin"
601,"MS","Jackson"
602,"AZ","Phoenix"
603,"NH","Manchester"
604,"BC","Yale"
605,"SD","SiouxFalls"
606,"KY","Sharpsburg"
607,"NY","Freeville"
608,"WI","Madison"
609,"NJ","Camden"
610,"PA","Philadelphia"
612,"MN","Minneapolis"
613,"ON","Yarker"
614,"OH","Columbus"
615,"TN","Nashville"
616,"MI","GrandRapids"
617,"MA","Boston"
618,"IL","Belleville"
619,"CA","SanDiego"
620,"KS","Hutchinson"
623,"AZ","Phoenix"
626,"CA","LosAngeles"
630,"IL","Chicago"
631,"NY","DeerPark"
636,"MO","SaintLouis"
639,"SK","Regina"
641,"IA","Beaman"
646,"NY","Brooklyn"
647,"ON","Toronto"
650,"CA","SanJose"
651,"MN","Minneapolis"
657,"CA","LongBeach"
660,"MO","Otterville"
661,"CA","Bakersfield"
662,"MS","Southaven"
667,"MD","Baltimore"
669,"CA","SanJose"
670,"NN","Saipan"
671,"GU","SantaRita"
678,"GA","Atlanta"
681,"WV","Charleston"
682,"TX","Dallas"
684,"AS","PagoPago"
701,"ND","Fargo"
702,"NV","LasVegas"
703,"VA","Alexandria"
704,"NC","Charlotte"
705,"ON","Woodville"
706,"GA","Augusta"
707,"CA","SantaRosa"
708,"IL","Chicago"
709,"NL","WoodyPoint"
712,"IA","SiouxCity"
713,"TX","Houston"
714,"CA","LongBeach"
715,"WI","GreenBay"
716,"NY","Buffalo"
717,"PA","Lancaster"
718,"NY","Brooklyn"
719,"CO","ColoradoSprings"
720,"CO","Denver"
724,"PA","Pittsburgh"
725,"NV","LasVegas"
727,"FL","Tampa"
731,"TN","Jackson"
734,"MI","Detroit"
737,"TX","Austin"
740,"OH","Columbus"
747,"CA","LosAngeles"
754,"FL","FortLauderdale"
757,"VA","VirginiaBeach"
760,"CA","SanDiego"
762,"GA","Augusta"
763,"MN","Minneapolis"
765,"IN","Indianapolis"
769,"MS","Jackson"
770,"GA","Atlanta"
772,"FL","PortSaintLucie"
773,"IL","Chicago"
774,"MA","Boston"
778,"BC","Youbou"
779,"IL","Rockford"
780,"AB","Zama"
781,"MA","Boston"
785,"KS","Topeka"
786,"FL","Miami"
787,"PR","Bayamon"
801,"UT","SaltLakeCity"
802,"VT","Shelburne"
803,"SC","Columbia"
804,"VA","Richmond"
805,"CA","Bakersfield"
806,"TX","Lubbock"
807,"ON","WunuminLake"
808,"HI","Honolulu"
810,"MI","Flint"
812,"IN","Evansville"
813,"FL","Tampa"
814,"PA","Erie"
815,"IL","Chicago"
816,"MO","KansasCity"
817,"TX","Dallas"
818,"CA","LosAngeles"
819,"QC","Yamachiche"
828,"NC","Asheville"
830,"TX","NewBraunfels"
831,"CA","Salinas"
832,"TX","Houston"
843,"SC","Charleston"
845,"NY","Poughkeepsie"
847,"IL","Chicago"
848,"NJ","Newark"
850,"FL","Pensacola"
856,"NJ","Camden"
857,"MA","Boston"
858,"CA","SanDiego"
859,"KY","Lexington"
860,"CT","Hartford"
862,"NJ","Newark"
863,"FL","Kissimmee"
864,"SC","Greenville"
865,"TN","Knoxville"
867,"NT","Yellowknife"
870,"AR","Jonesboro"
872,"IL","Chicago"
873,"QC","Woburn"
878,"PA","Pittsburgh"
901,"TN","Memphis"
902,"NS","Yarmouth"
903,"TX","Tyler"
904,"FL","Jacksonville"
905,"ON","Woodbridge"
906,"MI","Deerton"
907,"AK","Anchorage"
908,"NJ","Newark"
909,"CA","Riverside"
910,"NC","Fayetteville"
912,"GA","Savannah"
913,"KS","KansasCity"
914,"NY","Manhattan"
915,"TX","ElPaso"
916,"CA","Sacramento"
917,"NY","Brooklyn"
918,"OK","Tulsa"
919,"NC","Raleigh"
920,"WI","Milwaukee"
925,"CA","Oakland"
928,"AZ","Phoenix"
929,"NY","Brooklyn"
931,"TN","Clarksville"
936,"TX","Conroe"
937,"OH","Dayton"
938,"AL","Goodwater"
939,"PR","Bayamon"
940,"TX","Denton"
941,"FL","Sarasota"
947,"MI","Southfield"
949,"CA","SantaAna"
951,"CA","Riverside"
952,"MN","Minneapolis"
954,"FL","FortLauderdale"
956,"TX","Laredo"
970,"CO","FtCollins"
972,"TX","Dallas"
973,"NJ","Newark"
978,"MA","Boston"
979,"TX","CollegeStation"
980,"NC","Charlotte"
984,"NC","Raleigh"
985,"LA","NewOrleans"
775,"NV","Reno"
